Open,Close,Year,Month,Day
17360.099609,17450.900391,2023,03,01
17421.5,17321.900391,2023,03,02
17451.25,17594.349609,2023,03,03
17680.349609,17711.449219,2023,03,06
17665.75,17754.400391,2023,03,08
17772.050781,17589.599609,2023,03,09
17443.800781,17412.900391,2023,03,10
17421.900391,17154.300781,2023,03,13
17160.550781,17043.300781,2023,03,14
17166.449219,16972.150391,2023,03,15
16994.650391,16985.599609,2023,03,16
17111.800781,17100.050781,2023,03,17
17066.599609,16988.400391,2023,03,20
17060.400391,17107.5,2023,03,21
17177.449219,17151.900391,2023,03,22
17097.400391,17076.900391,2023,03,23
17076.199219,16945.050781,2023,03,24
16984.300781,16985.699219,2023,03,27
17031.75,16951.699219,2023,03,28
16977.300781,17080.699219,2023,03,29
17210.349609,17359.75,2023,03,31
17427.949219,17398.050781,2023,04,03
17422.300781,17557.050781,2023,04,05
17533.849609,17599.150391,2023,04,06
17634.900391,17624.050781,2023,04,10
17704.800781,17722.300781,2023,04,11
17759.550781,17812.400391,2023,04,12
17807.300781,17828.0,2023,04,13
17863.0,17706.849609,2023,04,17
17766.599609,17660.150391,2023,04,18
17653.349609,17618.75,2023,04,19
17638.599609,17624.449219,2023,04,20
17639.75,17624.050781,2023,04,21
17707.550781,17743.400391,2023,04,24
17761.550781,17769.25,2023,04,25
17767.300781,17813.599609,2023,04,26
17813.099609,17915.050781,2023,04,27
17950.400391,18065.0,2023,04,28
18124.800781,18147.650391,2023,05,02
18113.800781,18089.849609,2023,05,03
18081.0,18255.800781,2023,05,04
18117.300781,18069.0,2023,05,05
18120.599609,18264.400391,2023,05,08
18303.400391,18265.949219,2023,05,09
18313.599609,18315.099609,2023,05,10
18357.800781,18297.0,2023,05,11
18273.75,18314.800781,2023,05,12
18339.300781,18398.849609,2023,05,15
18432.349609,18286.5,2023,05,16
18300.449219,18181.75,2023,05,17
18287.5,18129.949219,2023,05,18
18186.150391,18203.400391,2023,05,19
18201.099609,18314.400391,2023,05,22
18362.900391,18348.0,2023,05,23
18294.800781,18285.400391,2023,05,24
18268.900391,18321.150391,2023,05,25
18368.349609,18499.349609,2023,05,26
18619.150391,18598.650391,2023,05,29
18606.650391,18633.849609,2023,05,30
18594.199219,18534.400391,2023,05,31
18579.400391,18487.75,2023,06,01
18550.849609,18534.099609,2023,06,02
18612.0,18593.849609,2023,06,05
18600.800781,18599.0,2023,06,06
18665.599609,18726.400391,2023,06,07
18725.349609,18634.550781,2023,06,08
18655.900391,18563.400391,2023,06,09
18595.050781,18601.5,2023,06,12
18631.800781,18716.150391,2023,06,13
18744.599609,18755.900391,2023,06,14
18774.449219,18688.099609,2023,06,15
18723.300781,18826.0,2023,06,16
18873.300781,18755.449219,2023,06,19
18752.349609,18816.699219,2023,06,20
18849.400391,18856.849609,2023,06,21
18853.599609,18771.25,2023,06,22
18741.849609,18665.5,2023,06,23
18682.349609,18691.199219,2023,06,26
18748.550781,18817.400391,2023,06,27
18908.150391,18972.099609,2023,06,28
19076.849609,19189.050781,2023,06,30
19246.5,19322.550781,2023,07,03
19406.599609,19389.0,2023,07,04
19405.949219,19398.5,2023,07,05
19385.699219,19497.300781,2023,07,06
19422.800781,19331.800781,2023,07,07
19400.349609,19355.900391,2023,07,10
19427.099609,19439.400391,2023,07,11
19497.449219,19384.300781,2023,07,12
19495.199219,19413.75,2023,07,13
19493.449219,19564.5,2023,07,14
19612.150391,19711.449219,2023,07,17
19787.5,19749.25,2023,07,18
19802.949219,19833.150391,2023,07,19
19831.699219,19979.150391,2023,07,20
19800.449219,19745.0,2023,07,21
19748.449219,19672.349609,2023,07,24
19729.349609,19680.599609,2023,07,25
19733.349609,19778.300781,2023,07,26
19850.900391,19659.900391,2023,07,27
19659.75,19646.050781,2023,07,28
19666.349609,19753.800781,2023,07,31
19784.0,19733.550781,2023,08,01
19655.400391,19526.550781,2023,08,02
19463.75,19381.650391,2023,08,03
19462.800781,19517.0,2023,08,04
19576.849609,19597.300781,2023,08,07
19627.199219,19570.849609,2023,08,08
19578.800781,19632.550781,2023,08,09
19605.550781,19543.099609,2023,08,10
19554.25,19428.300781,2023,08,11
19383.949219,19434.550781,2023,08,14
19369.0,19465.0,2023,08,16
19450.550781,19365.25,2023,08,17
19301.75,19310.150391,2023,08,18
19320.650391,19393.599609,2023,08,21
19417.099609,19396.449219,2023,08,22
19439.199219,19444.0,2023,08,23
19535.150391,19386.699219,2023,08,24
19297.400391,19265.800781,2023,08,25
19298.349609,19306.050781,2023,08,28
19374.849609,19342.650391,2023,08,29
19433.449219,19347.449219,2023,08,30
19375.550781,19253.800781,2023,08,31
19258.150391,19435.300781,2023,09,01
19525.050781,19528.800781,2023,09,04
19564.650391,19574.900391,2023,09,05
19581.199219,19611.050781,2023,09,06
19598.650391,19727.050781,2023,09,07
19774.800781,19819.949219,2023,09,08
19890.0,19996.349609,2023,09,11
20110.150391,19993.199219,2023,09,12
19989.5,20070.0,2023,09,13
20127.949219,20103.099609,2023,09,14
20156.449219,20192.349609,2023,09,15
20155.949219,20133.300781,2023,09,18
19980.75,19901.400391,2023,09,20
19840.550781,19742.349609,2023,09,21
19744.849609,19674.25,2023,09,22
19678.199219,19674.550781,2023,09,25
19682.800781,19664.699219,2023,09,26
19637.050781,19716.449219,2023,09,27
19761.800781,19523.550781,2023,09,28
19581.199219,19638.300781,2023,09,29
19622.400391,19528.75,2023,10,03
19446.300781,19436.099609,2023,10,04
19521.849609,19545.75,2023,10,05
19621.199219,19653.5,2023,10,06
19539.449219,19512.349609,2023,10,09
19565.599609,19689.849609,2023,10,10
19767.0,19811.349609,2023,10,11
19822.699219,19794.0,2023,10,12
19654.550781,19751.050781,2023,10,13
19737.25,19731.75,2023,10,16
19843.199219,19811.5,2023,10,17
19820.449219,19671.099609,2023,10,18
19545.199219,19624.699219,2023,10,19
19542.150391,19542.650391,2023,10,20
19521.599609,19281.75,2023,10,23
19286.449219,19122.150391,2023,10,25
19027.25,18857.25,2023,10,26
18928.75,19047.25,2023,10,27
19053.400391,19140.900391,2023,10,30
19232.949219,19079.599609,2023,10,31
19064.050781,18989.150391,2023,11,01
19120.0,19133.25,2023,11,02
19241.0,19230.599609,2023,11,03
19345.849609,19411.75,2023,11,06
19404.050781,19406.699219,2023,11,07
19449.599609,19443.5,2023,11,08
19457.400391,19395.300781,2023,11,09
19351.849609,19425.349609,2023,11,10
19486.75,19443.550781,2023,11,13
19651.400391,19675.449219,2023,11,15
19674.699219,19765.199219,2023,11,16
19674.75,19731.800781,2023,11,17
